dgp,model,label,protocol,n_folds_scored,auc_mean,auc_std,auc_min,auc_max
overlap_local,knn,TOY,naive_kfold_INVALID,5,0.9971082738572268,0.0011578360697472316,0.9956668271545499,0.998388136686009
overlap_local,knn,TOY,timeseries_split,4,0.5,0.0,0.5,0.5
overlap_local,knn,TOY,purged_kfold,5,0.681296189190926,0.1667901674804569,0.5,0.8269230769230769
overlap_local,knn,TOY,cpcv,15,0.4559416161304127,0.18846992797070025,0.1358695652173913,0.8359375
future_column,logistic,TOY,naive_kfold_INVALID,5,0.9999062451164246,0.00013975697899540113,0.9996875000000001,1.0
future_column,logistic,TOY,timeseries_split,5,0.9998641092994406,0.00020238293075281475,0.9995477159656264,1.0
future_column,logistic,TOY,purged_kfold,5,0.999843023354084,0.00027216408748424167,0.9993714644877436,1.0
future_column,logistic,TOY,cpcv,15,0.9998682290843344,0.0001964774423359163,0.9993214588634436,1.0
future_column_dropped,logistic,TOY,naive_kfold_INVALID,5,0.5231114955998002,0.02995844987600725,0.49125,0.5694117647058824
future_column_dropped,logistic,TOY,timeseries_split,5,0.5058907715761665,0.08316783475506656,0.38181401740723775,0.5845070422535211
future_column_dropped,logistic,TOY,purged_kfold,5,0.5152869219866678,0.07530255051337154,0.4075814536340852,0.6060084493819433
future_column_dropped,logistic,TOY,cpcv,15,0.510814362958891,0.04006192292366184,0.42507801418439717,0.5954519932622122
